    time,      gen, pop_size, LTETOTAL, LTE000pe, LTE025pe, LTE050pe, LTE075pe, LTE100pe, DTETOTAL, DTE000pe, DTE025pe, DTE050pe, DTE075pe, DTE100pe, AUTONOMOUS_TOTAL, AUTONOMOUS000pe, AUTONOMOUS025pe, AUTONOMOUS050pe, AUTONOMOUS075pe, AUTONOMOUS100pe, NONAUTONOMOUS_TOTAL, NONAUTONOMOUS000pe, NONAUTONOMOUS025pe, NONAUTONOMOUS050pe, NONAUTONOMOUS075pe, NONAUTONOMOUS100pe, FIT000pe, FIT025pe, FIT050pe, FIT075pe, FIT100pe,  TEDEATH, COLLISIO, TOTAL_JU, LETHAL_J, DELETE_J, NEUTRA_J, BENEFI_J, GSIZE000, GSIZE025, GSIZE050, GSIZE075, GSIZE100, TELOC000, TELOC025, TELOC050, TELOC075, TELOC100, GELOC000, GELOC025, GELOC050, GELOC075, GELOC100, GENERIC_TOTAL, GENERIC000pe, GENERIC025pe, GENERIC050pe, GENERIC075pe, GENERIC100pe, ORF_TOTAL, ORF000pe, ORF025pe, ORF050pe, ORF075pe, ORF100pe, PROMOTER_TOTAL, PROMOTER000pe, PROMOTER025pe, PROMOTER050pe, PROMOTER075pe, PROMOTER100pe, ENHANCER_TOTAL, ENHANCER000pe, ENHANCER025pe, ENHANCER050pe, ENHANCER075pe, ENHANCER100pe
1769443873.2,        0,       30,       30,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       30,        1,        1,        1,        1,        1, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000,        0,        0,        0,        0,        0,        0,        0, 14479200, 14479200, 14479200, 14479200, 14479200,  3414981,  3414981,  3414981,  3414981,  3414981,  5235140,  9600680, 11657674, 13123454, 14434513,       30,        1,        1,        1,        1,        1,     8700,      290,      290,      290,      290,      290,     3630,      121,      121,      121,      121,      121,     2670,       89,       89,       89,       89,       89
1769443896.6,        1,       28,       11,        0,        0,        0,        1,        1,       17,        0,        0,        1,        1,        1,        0,        0,        0,        0,        0,        0,       11,        0,        0,        0,        1,        1, 1.000000, 1.000000, 1.000000, 1.000000, 1.100000,       73,        0,        0,        0,        0,        0,        0, 14479200, 14479200, 14479200, 14479200, 14479200,  3414981,  3414981,  3414981,  3414981,  3414981,  5235140,  9600680, 11657674, 13123454, 14434513,       11,        1,        1,        1,        1,        1,     8120,      290,      290,      290,      290,      290,     3388,      121,      121,      121,      121,      121,     2492,       89,       89,       89,       89,       89
1769443918.2,        2,       31,        5,        0,        0,        0,        0,        1,       26,        0,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        5,        0,        0,        0,        0,        1, 1.000000, 1.000000, 1.000000, 1.000000, 1.100000,       29,        0,        0,        0,        0,        0,        0, 14479200, 14479200, 14479200, 14479200, 14479200,  3414981,  3414981,  3414981,  3414981,  3414981,  5235140,  9600680, 11657674, 13123454, 14434513,        5,        1,        1,        1,        1,        1,     8990,      290,      290,      290,      290,      290,     3751,      121,      121,      121,      121,      121,     2759,       89,       89,       89,       89,       89
1769443942.6,        3,       28,        3,        0,        0,        0,        0,        1,       25,        0,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        3,        0,        0,        0,        0,        1, 1.000000, 1.000000, 1.000000, 1.000000, 1.100000,        8,        0,        0,        0,        0,        0,        0, 14479200, 14479200, 14479200, 14479200, 14479200,  3414981,  3414981,  3414981,  3414981,  3414981,  5235140,  9600680, 11657674, 13123454, 14434513,        3,        1,        1,        1,        1,        1,     8120,      290,      290,      290,      290,      290,     3388,      121,      121,      121,      121,      121,     2492,       89,       89,       89,       89,       89
1769443964.4,        4,       33,        2,        0,        0,        0,        0,        1,       31,        0,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        2,        0,        0,        0,        0,        1, 1.000000, 1.000000, 1.000000, 1.000000, 1.100000,        4,        0,        0,        0,        0,        0,        0, 14479200, 14479200, 14479200, 14479200, 14479200,  3414981,  3414981,  3414981,  3414981,  3414981,  5235140,  9600680, 11657674, 13123454, 14434513,        2,        1,        1,        1,        1,        1,     9570,      290,      290,      290,      290,      290,     3993,      121,      121,      121,      121,      121,     2937,       89,       89,       89,       89,       89
1769443989.6,        5,       32,        1,        0,        0,        0,        0,        1,       31,        0,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        1,        0,        0,        0,        0,        1, 1.000000, 1.000000, 1.000000, 1.000000, 1.100000,        4,        0,        0,        0,        0,        0,        0, 14479200, 14479200, 14479200, 14479200, 14479200,  3414981,  3414981,  3414981,  3414981,  3414981,  5235140,  9600680, 11657674, 13123454, 14434513,        1,        1,        1,        1,        1,        1,     9280,      290,      290,      290,      290,      290,     3872,      121,      121,      121,      121,      121,     2848,       89,       89,       89,       89,       89
1769444015.0,        6,       29,        1,        0,        0,        0,        0,        1,       28,        0,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        1,        0,        0,        0,        0,        1, 1.000000, 1.000000, 1.000000, 1.000000, 1.100000,        3,        0,        0,        0,        0,        0,        0, 14479200, 14479200, 14479200, 14479200, 14479200,  3414981,  3414981,  3414981,  3414981,  3414981,  5235140,  9600680, 11657674, 13123454, 14434513,        1,        1,        1,        1,        1,        1,     8410,      290,      290,      290,      290,      290,     3509,      121,      121,      121,      121,      121,     2581,       89,       89,       89,       89,       89
1769444037.4,        7,       28,        0,        0,        0,        0,        0,        0,       28,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 0.900000, 1.000000, 1.000000, 1.000000, 1.000000,        1,        0,        0,        0,        0,        0,        0, 14479200, 14479200, 14479200, 14479200, 14479200,        0,        0,        0,        0,        0,  5235140,  9600680, 11657674, 13123454, 14434513,        0,        0,        0,        0,        0,        0,     8120,      290,      290,      290,      290,      290,     3388,      121,      121,      121,      121,      121,     2492,       89,       89,       89,       89,       89
1769444179.2,        0,       30,       30,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       30,        1,        1,        1,        1,        1, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000,        0,        0,        0,        0,        0,        0,        0, 14479500, 14479500, 14479500, 14479500, 14479500,  4572964,  4572964,  4572964,  4572964,  4572964,  5218351,  9651231, 11748004, 13083157, 14560944,       30,        1,        1,        1,        1,        1,     8790,      293,      293,      293,      293,      293,     4170,      139,      139,      139,      139,      139,     2040,       68,       68,       68,       68,       68
1769444202.9,        1,       26,       15,        0,        0,        1,        1,        1,       11,        0,        0,        0,        1,        1,        0,        0,        0,        0,        0,        0,       15,        0,        0,        1,        1,        1, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000,       58,        0,        0,        0,        0,        0,        0, 14479500, 14479500, 14479500, 14479500, 14479500,  4572964,  4572964,  4572964,  4572964,  4572964,  5218351,  9651231, 11748004, 13083157, 14560944,       15,        1,        1,        1,        1,        1,     7618,      293,      293,      293,      293,      293,     3614,      139,      139,      139,      139,      139,     1768,       68,       68,       68,       68,       68
