    time,      gen, pop_size, LTETOTAL, LTE000pe, LTE025pe, LTE050pe, LTE075pe, LTE100pe,   LTEAUT, LTEAUT000pe, LTEAUT025pe, LTEAUT050pe, LTEAUT075pe, LTEAUT100pe,  LTENAUT, LTENAUT000pe, LTENAUT025pe, LTENAUT050pe, LTENAUT075pe, LTENAUT100pe, DTETOTAL, DTE000pe, DTE025pe, DTE050pe, DTE075pe, DTE100pe,   DTEAUT, DTEAUT000pe, DTEAUT025pe, DTEAUT050pe, DTEAUT075pe, DTEAUT100pe,  DTENAUT, DTENAUT000pe, DTENAUT025pe, DTENAUT050pe, DTENAUT075pe, DTENAUT100pe, FIT000pe, FIT025pe, FIT050pe, FIT075pe, FIT100pe,  TEDEATH, COLLISIO, TOTAL_JU, LETHAL_J, DELETE_J, NEUTRA_J, BENEFI_J, GSIZE000, GSIZE025, GSIZE050, GSIZE075, GSIZE100, TELOC000, TELOC025, TELOC050, TELOC075, TELOC100, GELOC000, GELOC025, GELOC050, GELOC075, GELOC100
     0.1,        0,       50,     1500,       30,       30,       30,       30,       30,      900,       18,       18,       18,       18,       18,      600,       12,       12,       12,       12,       12,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000,        0,        0,        0,        0,        0,        0,        0,  1930000,  1930000,  1930000,  1930000,  1930000,    31962,   498100,   662627,  1077254,  1670301,      203,   463466,   947001,  1410950,  1927367
     0.3,        1,       47,     1429,       28,       30,       30,       31,       33,      865,       17,       18,       18,       19,       20,      564,       10,       12,       12,       12,       14,        1,        0,        0,        0,        0,        1,        0,        0,        0,        0,        0,        0,        1,        0,        0,        0,        0,        1, 0.991471, 1.000000, 1.000000, 1.000000, 1.008578,        1,        7,      393,       29,       20,       25,       17,  1928000,  1930000,  1930000,  1931000,  1933000,     3044,   498100,   739655,  1173257,  1908356,      203,   464466,   947001,  1413950,  1930367
     0.4,        2,       51,     1566,       28,       30,       30,       32,       34,      945,       17,       18,       18,       19,       21,      621,       10,       12,       12,       13,       15,        2,        0,        0,        0,        0,        1,        1,        0,        0,        0,        0,        1,        1,        0,        0,        0,        0,        1, 0.988520, 0.995198, 1.000000, 1.000000, 1.009038,        1,        5,      337,       33,       20,       25,       15,  1928000,  1930000,  1930000,  1932000,  1934000,     3044,   497100,   740655,  1255617,  1923074,      203,   464837,   947001,  1415950,  1931367
     0.6,        3,       41,     1277,       28,       30,       31,       32,       34,      772,       16,       18,       19,       20,       23,      505,       10,       12,       12,       13,       15,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 0.984335, 0.992570, 1.000000, 1.001268, 1.009038,        1,        3,      367,       35,       18,       20,        7,  1928000,  1930000,  1931000,  1933000,  1934000,     2843,   497100,   746224,  1258617,  1925806,      203,   464837,   947001,  1415950,  1931367
     0.7,        4,       50,     1565,       27,       30,       31,       32,       36,      936,       15,       17,       19,       20,       24,      629,       10,       12,       12,       13,       16,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 0.981188, 0.993992, 1.000000, 1.002354, 1.013313,        0,        2,      270,       28,       11,       18,       15,  1927000,  1930000,  1931000,  1933000,  1936000,     2843,   499100,   748224,  1259617,  1928806,      203,   464837,   946473,  1417950,  1933367
     0.9,        5,       47,     1462,       25,       30,       31,       32,       36,      867,       14,       17,       18,       20,       24,      595,       10,       11,       12,       13,       16,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 0.981419, 0.994143, 1.000000, 1.002354, 1.012484,        1,        4,      338,       19,       19,       31,       18,  1925000,  1930000,  1931000,  1932000,  1936000,     4315,   497100,   754603,  1260617,  1920660,      203,   464837,   946473,  1416950,  1933367
     1.0,        6,       43,     1356,       25,       30,       32,       33,       38,      799,       14,       18,       19,       20,       24,      557,       10,       12,       13,       14,       18,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 0.972726, 0.993448, 1.000000, 1.002354, 1.009038,        1,        5,      320,       30,       14,       20,       10,  1925000,  1931000,  1932000,  1933000,  1938000,     1088,   506488,   811782,  1291255,  1919660,      203,   464466,   946473,  1417950,  1935367
     1.1,        7,       49,     1580,       27,       31,       32,       34,       37,      922,       14,       17,       19,       20,       22,      658,       10,       12,       13,       14,       19,        1,        0,        0,        0,        0,        1,        1,        0,        0,        0,        0,        1,        0,        0,        0,        0,        0,        0, 0.972726, 0.995628, 1.000000, 1.003950, 1.016358,        1,        3,      317,       21,       13,       23,       19,  1927000,  1931000,  1933000,  1934000,  1937000,     1088,   517854,   815751,  1304044,  1922383,      203,   464837,   946473,  1417950,  1934367
     1.3,        8,       54,     1768,       27,       31,       33,       34,       38,     1032,       14,       18,       19,       21,       23,      736,       10,       12,       13,       14,       19,        1,        0,        0,        0,        0,        1,        1,        0,        0,        0,        0,        1,        0,        0,        0,        0,        0,        0, 0.972726, 0.993436, 1.000000, 1.006196, 1.013254,        2,        7,      402,       32,       21,       30,       21,  1927000,  1932000,  1933000,  1934000,  1939000,     4616,   526335,   853188,  1302774,  1923660,      203,   464837,   946001,  1418950,  1936367
     1.5,        9,       45,     1510,       28,       32,       33,       36,       39,      887,       16,       18,       20,       21,       24,      623,       10,       11,       14,       15,       20,        2,        0,        0,        0,        0,        1,        2,        0,        0,        0,        0,        1,        0,        0,        0,        0,        0,        0, 0.972726, 0.993013, 0.998454, 1.005298, 1.013400,        3,        7,      422,       34,       30,       30,       15,  1929000,  1932000,  1933000,  1936000,  1939000,     4616,   523607,   864171,  1304044,  1924660,      203,   464837,   946473,  1418950,  1936367
