condition_code,run,seed,scientific_status,final_generation,final_population_size,latest_checkpoint,latest_checkpoint_generation,provenance_file,git_commit
HHHHHHH-HH,1,15993074244531042095,host_extinction,11,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHH-HH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHH-HH,2,5230014347539899032,host_extinction,10,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHH-HH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHH-HH,3,11193307786945781508,host_extinction,10,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHH-HH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHH-HL,1,3244083580825990857,host_extinction,8,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHH-HL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHH-HL,2,17245834549017499285,maximum_generations,1500,290,state-002-001-0001500.gz,1500,TE-Interaction-Experiments/HHHHHHH-HL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHH-HL,3,6124166682259072156,host_extinction,9,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHH-HL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHH-LH,1,16979071254088669592,host_extinction,7,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHH-LH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHH-LH,2,7325005567567938532,host_extinction,8,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHH-LH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHH-LH,3,15640330169327450503,host_extinction,9,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHH-LH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHH-LL,1,16076405122821654518,maximum_generations,1500,295,state-001-001-0001500.gz,1500,TE-Interaction-Experiments/HHHHHHH-LL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHH-LL,2,8201068975408213014,host_extinction,7,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHH-LL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHH-LL,3,4348321397016168332,host_extinction,7,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHH-LL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHH-Z,1,3382078402168537404,host_extinction,7,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHH-Z/provenance-001-001.json,f9d0537629a4cacb6ed147d796121c399c460656
HHHHHHH-Z,2,15398525192689100522,host_extinction,7,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHH-Z/provenance-002-001.json,f9d0537629a4cacb6ed147d796121c399c460656
HHHHHHH-Z,3,4150903101802928525,host_extinction,7,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHH-Z/provenance-003-001.json,f9d0537629a4cacb6ed147d796121c399c460656
HHHHHHL-HH,1,6924761734454760855,host_extinction,9,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-HH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHL-HH,2,9551077334488180806,host_extinction,8,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-HH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHL-HH,3,6467514733128011624,host_extinction,7,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-HH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHL-HL,1,17172014033702084604,host_extinction,7,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-HL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHL-HL,2,11892586664391310726,host_extinction,8,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-HL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHL-HL,3,8793265962681512542,host_extinction,6,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-HL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHL-LH,1,15299953410935192624,host_extinction,7,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-LH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHL-LH,2,16377488477243602076,host_extinction,6,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-LH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHL-LH,3,11224201108290975895,host_extinction,7,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-LH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHL-LL,1,17889599391604932396,host_extinction,6,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-LL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHL-LL,2,12237571142639217398,host_extinction,6,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-LL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHL-LL,3,1661280424787811274,host_extinction,6,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-LL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHHL-Z,1,7593100963827600450,host_extinction,6,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-Z/provenance-001-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHHHL-Z,2,5977579466654773253,host_extinction,6,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-Z/provenance-002-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHHHL-Z,3,9329410517337618700,host_extinction,6,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHHL-Z/provenance-003-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHHLH-HH,1,2328565420139043864,host_extinction,9,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-HH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLH-HH,2,18376054660193938757,maximum_generations,1500,305,state-002-001-0001500.gz,1500,TE-Interaction-Experiments/HHHHHLH-HH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLH-HH,3,7313343097941809590,host_extinction,11,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-HH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLH-HL,1,16950438504563556657,host_extinction,9,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-HL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLH-HL,2,11570864935315273518,host_extinction,8,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-HL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLH-HL,3,13257854901350587617,host_extinction,8,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-HL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLH-LH,1,4884201591967782311,host_extinction,8,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-LH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLH-LH,2,3138107185503223465,host_extinction,7,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-LH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLH-LH,3,9322800828374530010,host_extinction,7,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-LH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLH-LL,1,14995372131690110354,host_extinction,8,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-LL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLH-LL,2,9124106029108139514,host_extinction,7,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-LL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLH-LL,3,10279126157215178953,host_extinction,6,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-LL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLH-Z,1,14490510062020758870,host_extinction,7,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-Z/provenance-001-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHHLH-Z,2,32503914418396960,host_extinction,7,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-Z/provenance-002-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHHLH-Z,3,6536328706896973667,host_extinction,6,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLH-Z/provenance-003-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHHLL-HH,1,8439841094568060065,host_extinction,7,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-HH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLL-HH,2,17164682618813477950,host_extinction,9,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-HH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLL-HH,3,16839272349776834380,host_extinction,7,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-HH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLL-HL,1,17860005826406292710,host_extinction,6,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-HL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLL-HL,2,15023379523339365131,host_extinction,6,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-HL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLL-HL,3,17215671106081220768,host_extinction,8,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-HL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLL-LH,1,10288817787817283492,host_extinction,6,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-LH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLL-LH,2,10706444671235273895,host_extinction,6,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-LH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLL-LH,3,8875717174859589363,host_extinction,7,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-LH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLL-LL,1,4911749273378168663,host_extinction,6,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-LL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLL-LL,2,5613099237269798916,host_extinction,6,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-LL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLL-LL,3,1912490695735369583,host_extinction,7,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-LL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHHLL-Z,1,18404620867719218522,host_extinction,7,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-Z/provenance-001-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHHLL-Z,2,8568677192590087110,host_extinction,6,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-Z/provenance-002-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHHLL-Z,3,773468618167774753,host_extinction,7,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHHLL-Z/provenance-003-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHLHH-HH,1,1471236350123873738,host_extinction,6,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHH-HH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHH-HH,2,12565127808748490828,host_extinction,6,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHH-HH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHH-HH,3,4631935670542906332,host_extinction,6,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHH-HH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHH-HL,1,2531700406893932526,host_extinction,6,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHH-HL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHH-HL,2,3515036232055787158,maximum_generations,1500,302,state-002-001-0001500.gz,1500,TE-Interaction-Experiments/HHHHLHH-HL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHH-HL,3,11526753245159001705,host_extinction,5,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHH-HL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHH-LH,1,7075235700420566189,host_extinction,6,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHH-LH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHH-LH,2,13760188514895927720,host_extinction,5,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHH-LH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHH-LH,3,12777723534486069584,host_extinction,5,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHH-LH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHH-LL,1,17953848021728693909,host_extinction,5,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHH-LL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHH-LL,2,16406553943749321554,maximum_generations,1500,287,state-002-001-0001500.gz,1500,TE-Interaction-Experiments/HHHHLHH-LL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHH-LL,3,4041599614866359800,host_extinction,5,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHH-LL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHH-Z,1,13400184778538414572,host_extinction,5,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHH-Z/provenance-001-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHLHH-Z,2,3024408735103651874,host_extinction,5,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHH-Z/provenance-002-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHLHH-Z,3,16799829688929764870,host_extinction,5,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHH-Z/provenance-003-001.json,023a8f88fe52b0b77d91cc3ef72caf45cabbbecf
HHHHLHL-HH,1,12545257008093431114,host_extinction,5,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-HH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-HH,2,612330336247751876,host_extinction,5,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-HH/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-HH,3,16500468207298043631,host_extinction,5,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-HH/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-HL,1,16267360674747590401,host_extinction,6,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-HL/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-HL,2,6108683555429096635,host_extinction,5,0,state-002-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-HL/provenance-002-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-HL,3,11132552909956980657,host_extinction,5,0,state-003-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-HL/provenance-003-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
HHHHLHL-LH,1,4737257199488835184,host_extinction,5,0,state-001-001-0000000.gz,0,TE-Interaction-Experiments/HHHHLHL-LH/provenance-001-001.json,ee6a78f884798442b70624bf215292b2aadfdf8d
