task_index,condition_code,replicate,run,seed,experiment_directory
0,HHHHHHH-Z,R01,1,3382078402168537404,HHHHHHH-Z
1,HHHHHHH-Z,R02,2,15398525192689100522,HHHHHHH-Z
2,HHHHHHH-Z,R03,3,4150903101802928525,HHHHHHH-Z
3,HHHHHHL-Z,R01,1,7593100963827600450,HHHHHHL-Z
4,HHHHHHL-Z,R02,2,5977579466654773253,HHHHHHL-Z
5,HHHHHHL-Z,R03,3,9329410517337618700,HHHHHHL-Z
6,HHHHHLH-Z,R01,1,14490510062020758870,HHHHHLH-Z
7,HHHHHLH-Z,R02,2,32503914418396960,HHHHHLH-Z
8,HHHHHLH-Z,R03,3,6536328706896973667,HHHHHLH-Z
9,HHHHHLL-Z,R01,1,18404620867719218522,HHHHHLL-Z
10,HHHHHLL-Z,R02,2,8568677192590087110,HHHHHLL-Z
11,HHHHHLL-Z,R03,3,773468618167774753,HHHHHLL-Z
12,HHHHLHH-Z,R01,1,13400184778538414572,HHHHLHH-Z
13,HHHHLHH-Z,R02,2,3024408735103651874,HHHHLHH-Z
14,HHHHLHH-Z,R03,3,16799829688929764870,HHHHLHH-Z
15,HHHHLHL-Z,R01,1,17447493529573489420,HHHHLHL-Z
16,HHHHLHL-Z,R02,2,11760414040803526538,HHHHLHL-Z
17,HHHHLHL-Z,R03,3,1892882073282890957,HHHHLHL-Z
18,HHHHLLH-Z,R01,1,12560573396593507318,HHHHLLH-Z
19,HHHHLLH-Z,R02,2,16559493265125655820,HHHHLLH-Z
20,HHHHLLH-Z,R03,3,7486198635583216926,HHHHLLH-Z
21,HHHHLLL-Z,R01,1,8582212012794690660,HHHHLLL-Z
22,HHHHLLL-Z,R02,2,2311909451227266239,HHHHLLL-Z
23,HHHHLLL-Z,R03,3,6532285907786878779,HHHHLLL-Z
24,HHHLHHH-Z,R01,1,6947690209191965335,HHHLHHH-Z
25,HHHLHHH-Z,R02,2,14074682567148743403,HHHLHHH-Z
26,HHHLHHH-Z,R03,3,16634973096080023813,HHHLHHH-Z
